author_id,author_name,email_id,phone
1,Sanjeev Saxena,Sanjeev@gmail.com,9897833770
2,Juha Honkala,juha@yahoo.co.in,9897833701
3,Siegfried Bublitz,Sieg@gmail.com,9897833702
4,Karl Meinke,karl@gmail.com,9897833703
5,Ryszard Janicki,rys@gmail.com,9897833704
6,Rudolf Berghammer,rudolf@gmail.com,9897833705
7,Astrid Kiehn,astrid@gmail.com,9897833706
8,Ekkart Kindler,ekkart@gmail.com,9897833707
9,Pedro V. Silva,pedro@gmail.com,9897833708
10,Beverly A. Sanders,bev@gmail.com,9897833709
11,Changwook Kim,Sieg@gmail.com,9897833710
12,Wim H. Hesselink,wim@gmail.com,9897833711
13,K. V. S. Ramarao,kv@gmail.com,9897833712
14,Hsien-Kuei Hwang,hsi@gmail.com,9897833713
15,Robert Szelepcsenyl,robert@gmail.com,9897833714
16,Lawrence T. Kou,lawrence@gmail.com,9897833715
17,Gheorghe Paun,gheor@gmail.com,9897833716
18,Naoki Kobayashi 0001,naoki@gmail.com,9897833717
19,Kung-Kiu Lau,kung@gmail.com,9897833718
20,J. D. Godolphin,jd@gmail.com,9897833719
21,Matthew S. Johnson,matthew@gmail.com,9897833720
22,Saralees Nadarajah,sara@gmail.com,9897833721
23,Alan D. Hutson,alan@gmail.com,9897833722
24,Peter Winker,peter@gmail.com,9897833723
25,Peter Zornig,peter@gmail.com,9897833724
26,Howard L. Weinert,howard@gmail.com,9897833725
27,Ji-Hyun Kim,ji@gmail.com,9897833726
28,Salvador Flores,salva@gmail.com,9897833727
29,Ingelin Steinsland,inge@gmail.com,9897833728
30,Olcay Arslan,olca@gmail.com,9897833729
36,Andrew G. Glen,andreww@gmail.com,9897833735
37,Marco J. Lombardi,marcooo@gmail.com,9897833736
38,Ingelin Steinsland,ingelin@gmail.com,9897833737
39,Olcay Arslan,olcay@gmail.com,9897833738
40,J. D. Godolphin,jddd@gmail.com,9897833739
41,Lior Rokach,lior@gmail.com,9897833770
42,Xiaomi Hu,xiomi@gmail.com,9897833741
43,Peter Congdon,peterr@gmail.com,9897833742
44,Matthew S. Johnson,matteeww@gmail.com,9897833743
45,Henning Fernau,henn@gmail.com,9897833744
46,Dexter O. Cahoy,dexter@gmail.com,9897833745
47,Levent V. Orman,levent@gmail.com,9897833746
48,Yue Fang,yue@gmail.com,9897833747
49,Alexander Meduna,alex@gmail.com,9897833748
50,A. R. Rasekh,rehman@gmail.com,9897833749
51,Diven,diven@gmail.com,9897833750
31,D. S. G. Pollock,dsg@gmail.com,9897833730
32,Marco J. Lombardi,marco@gmail.com,9897833731
33,Harry Joe,harry@gmail.com,9897833732
34,Patrick Marsh,pattrickk@gmail.com,9897833733
35,Yury P. Shimansky,yury@gmail.com,9897833734
